,Open,High,Low,Close,Volume
1,58.49,58.93,58.43,58.75,75564699
2,58.57,59.24,58.47,59.06,65061108
3,59.28,59.79,58.95,59.72,67816805
4,59.97,60.39,59.89,60.34,79596412
5,60.79,61.11,60.19,60.25,98505792
6,60.84,60.86,60.21,60.46,64581762
7,60.38,60.41,59.9,60.36,53798059
8,60.33,60.41,59.82,60.2,53180911
9,59.96,60.06,59.81,59.97,56539749
10,60.6,60.86,60.42,60.67,60724055
11,60.99,61.35,60.9,61.3,69197758
12,61.45,61.62,60.93,61.11,65434453
13,61.07,61.07,59.96,60.04,103492249
14,60.38,61.21,60.33,61.06,76515446
15,60.73,60.73,59.94,60.06,136909311
16,64.92,64.92,63.39,63.81,239565837
17,64.05,64.11,63.31,63.52,81057711
18,63.48,64.07,63.4,63.9,74971631
19,63.67,64.84,63.63,64.72,94832073
20,65.08,65.46,64.72,65.21,97977985
21,65.49,65.57,65.08,65.17,67510562
22,65.13,65.31,64.85,65.02,46698547
23,65.33,65.71,65.08,65.67,71717009
24,65.48,66.43,65.46,66.28,62420596
25,66.46,67.11,66.37,66.98,79055263
26,67.21,68.11,67.1,68.1,101969280
27,68.68,70.96,68.65,70.45,221053602
28,70.14,71.09,69.79,70.49,157824975
29,71.36,71.98,71.01,71.8,129301606
30,72.09,72.79,71.71,72.78,115483011
31,73.47,75.18,70.98,71.1,376528040
32,70.21,72.13,69.52,71.74,236137405
33,71.87,72.54,71.47,71.73,133947191
34,72.41,73.55,72.02,73.55,151396399
35,73.3,73.64,72.72,73.29,120823808
36,73.58,73.98,72.79,73.77,142006312
37,74.24,74.7,74.09,74.63,103819905
38,74.47,75.5,73.75,75.11,136895304
39,75.42,76.49,75.12,76.49,150096478
40,77.37,78.23,76.53,77.49,238000378
41,78.31,78.32,76.97,77.78,170813188
42,77.75,78.11,77.5,77.88,107927589
43,77.92,78.21,75.14,76.17,202280183
44,74.81,76.24,73.75,75.75,202559651
45,76.69,76.83,74.76,75.81,199629549
46,76.38,77.57,76.02,77.43,129110723
47,77.74,78.25,77.59,77.88,104724732
48,78.43,78.86,78.14,78.86,101820019
49,79.65,81.17,79.39,81.16,172712659
50,82.58,84.96,82.2,84.23,354709747
51,85.66,85.72,82.65,83.65,289917768
52,83.53,84.17,82.57,83.65,206371879
53,85.48,85.97,84.15,85.87,225308790
54,85.64,86.7,83.14,86.57,204167033
55,86.11,87.09,85.92,86.07,161010374
56,85.4,86.36,85.08,85.62,156032898
57,85.78,85.97,84.91,85.15,107621815
58,85.68,86.74,85.04,86.71,148934219
59,86.6,88.04,86.58,87.78,151782141
60,88.34,88.78,87.19,88.23,163864869
61,87.54,88.08,86.75,87.12,152059432
62,86.97,87.22,85.42,85.65,182759395
63,85.98,88.4,85.77,88.38,149586458
64,89.61,90.32,88.93,89.9,208638360
65,89.19,89.41,88.14,89.19,143245095
66,89.57,90.67,89.06,90.53,160318858
67,89.45,91.41,89.33,90.89,149384046
68,91.42,92,89.43,89.78,222422452
69,90.89,90.98,89.05,89.46,174152769
70,89.29,90.19,88.64,88.97,153582163
71,89.16,89.24,86.22,86.46,214911067
72,87.15,87.18,82.61,82.88,262696056
73,82.71,87.14,81.7,87.1,256371472
74,87.67,88.61,86.1,86.91,238632471
75,85.75,86.39,83.5,83.92,208678365
76,84.48,84.95,81.49,81.85,257743808
77,81.52,82.38,79.52,81.67,241629479
78,80.37,81.1,79.29,80.04,269099838
79,87.95,88.29,86.57,87.14,226427670
80,87.75,87.81,86.02,86.81,134016274
81,86.44,86.6,85.79,86.14,101692500
82,85.4,85.49,83.29,83.43,126535038
83,83.56,85.25,83.03,83.16,152749513
84,82.89,83.91,82.69,83.71,106906016
85,84.36,84.49,82.9,83.12,97637057
86,82.44,82.62,80.74,80.75,132497421
87,80.21,81.82,80.18,81.35,115073217
88,81.37,81.64,79.82,81.17,124312720
89,80.53,82,80.12,81.31,120175923
90,82.08,82.27,81.21,81.5,83317752
91,80.71,82.07,80.62,80.96,99886332
92,80.37,81.07,79.66,79.75,88156103
93,80.21,80.46,78.82,79.02,119076678
94,79.15,79.56,77.29,78.01,140223874
95,77.9,78.21,75.73,75.73,179304713
96,76.28,77.63,74.6,75.77,183072463
