,Open,High,Low,Close,Volume
1,5.75,5.89,5.74,5.8,246293197
2,5.71,5.88,5.59,5.81,243711165
3,5.75,6.35,5.71,6.31,547779981
4,6.21,6.3,6.06,6.18,299630504
5,6.26,6.37,6.19,6.27,240614372
6,6.44,6.66,6.44,6.63,354292048
7,6.6,6.9,6.52,6.87,354039516
8,6.99,7.02,6.66,6.79,362099516
9,6.49,6.69,6.41,6.61,337542988
10,6.63,6.82,6.44,6.48,294202725
11,6.5,6.8,6.46,6.8,302497681
12,7.21,7.29,6.74,6.96,491008079
13,6.95,7.08,6.83,7.07,236630627
14,7.13,7.37,7.11,7.25,339942182
15,7.11,7.35,7.06,7.29,228810287
16,7.2,7.37,7.15,7.35,249340065
17,7.45,7.5,7.23,7.3,265938718
18,7.21,7.35,7.2,7.29,230913969
19,7.13,7.15,7.02,7.07,231240009
20,7.17,7.19,7.05,7.13,212784692
21,7.25,7.44,7.21,7.36,318810976
22,7.43,7.49,7.33,7.45,232425334
23,7.66,7.89,7.63,7.84,364195664
24,7.78,7.97,7.77,7.97,236315966
25,7.95,7.99,7.8,7.85,253694162
26,7.96,8.15,7.93,8.13,436439603
27,8.31,8.35,8.1,8.18,480206673
28,8.05,8.12,7.98,8.07,254420725
29,8.27,8.31,8.07,8.25,308490106
30,8.15,8.17,7.95,7.98,385269237
31,8.01,8.12,7.77,7.78,372981346
32,7.71,8.13,7.66,8.09,337161160
33,8.04,8.08,7.92,8.02,355445546
34,8.02,8.2,8,8.11,333407695
35,8.06,8.13,7.95,7.95,229483532
36,7.97,8.05,7.9,8.02,144231783
37,8.05,8.09,7.88,7.88,163128158
38,7.79,8.05,7.67,8.04,298930800
39,8.05,8.15,8,8.12,193443166
40,8.16,8.24,7.97,7.97,266760587
41,8.09,8.17,8.05,8.12,197852988
42,8.11,8.21,8.1,8.13,143887406
43,8.09,8.13,7.95,7.97,196328228
44,7.78,7.79,7.66,7.71,263256460
45,7.81,8.02,7.77,8.02,328331859
46,8.07,8.12,8,8.06,160865694
47,8.12,8.19,8.01,8.05,195281368
48,8.01,8.06,7.91,7.99,165298806
49,8.07,8.5,8.05,8.49,386987078
50,8.66,8.9,8.56,8.84,488076986
51,8.98,9.25,8.85,9.24,489592917
52,9.41,9.8,9.33,9.8,582315650
53,9.78,10.1,9.51,9.53,669479897
54,9.63,9.97,9.59,9.81,451688502
55,9.96,10.03,9.74,9.82,327450031
56,9.66,9.77,9.52,9.6,264520444
57,9.47,9.95,9.4,9.85,283701718
58,10.01,10.04,9.85,9.93,242089557
59,9.86,9.9,9.58,9.6,250069557
60,9.62,9.78,9.58,9.75,234021548
61,9.63,9.68,9.43,9.53,253625799
62,9.61,9.64,9.35,9.57,250234655
63,9.54,9.78,9.41,9.68,179228981
64,9.67,9.67,9.41,9.49,190453302
65,9.35,9.36,9.15,9.2,228560573
66,9.14,9.4,9.11,9.23,180868064
67,9.04,9.04,8.83,8.93,211427527
68,8.97,9.09,8.5,8.54,377219912
69,8.78,8.91,8.72,8.86,252563689
70,8.93,9.18,8.91,9.17,223979804
71,9.08,9.08,8.68,8.68,282354506
72,8.87,8.93,8.62,8.79,217284490
73,8.96,9,8.87,8.92,193424338
74,8.88,9,8.84,8.92,160064035
75,9.16,9.17,8.67,8.77,348804721
76,8.78,8.78,8.33,8.36,277965234
77,8.02,8.3,7.95,8.18,256074000
78,8.25,8.27,8.1,8.21,192443792
79,8.3,8.35,8.17,8.26,164902371
80,8.19,8.4,8.17,8.27,131592832
81,8.34,8.34,8.19,8.25,107556141
82,8.22,8.24,8.04,8.11,137422222
83,8.11,8.4,8.08,8.31,177972531
84,8.21,8.23,8.12,8.16,136208868
85,8.18,8.18,7.91,8,204584751
86,7.9,7.92,7.7,7.74,194857160
87,7.71,8,7.66,7.96,167662525
88,7.87,7.9,7.69,7.79,180629868
89,7.67,7.82,7.65,7.73,174755100
90,7.91,7.94,7.67,7.7,158682899
91,7.48,7.77,7.41,7.55,245533515
92,7.37,7.52,7.35,7.35,170716714
93,7.37,7.55,7.25,7.3,201254885
94,7.4,7.47,7.08,7.11,216226004
95,7.1,7.25,6.93,6.98,241493022
96,7.01,7.03,6.89,7.02,224224145
97,7.03,7.11,6.72,6.83,230602061
98,6.92,7.15,6.86,6.98,221551458
99,6.9,7.17,6.85,7.17,194445391
100,7.26,7.33,7.01,7.14,206041434
101,7.07,7.25,7.07,7.15,108661149
102,7.28,7.45,7.22,7.44,159882991
103,7.33,7.41,7.1,7.2,206801493
104,7.21,7.37,7.04,7.35,203277182
105,7.12,7.19,6.94,7.02,240861972
106,7.1,7.1,6.85,6.9,163822179
107,6.91,7.14,6.9,7.1,147346633
108,7.24,7.77,7.18,7.64,356852822
109,7.81,7.9,7.38,7.42,276685277
110,7.35,7.58,7.2,7.56,234557612
111,7.72,7.77,7.28,7.28,204590685
112,7.32,7.5,7.22,7.49,148255588
113,7.4,7.61,7.35,7.5,162374411
114,7.52,7.69,7.45,7.66,157528221
115,7.72,7.9,7.55,7.9,211752092
116,7.77,7.91,7.73,7.76,140322616
117,7.88,8.21,7.86,8.11,248771441
118,8.16,8.22,8.02,8.14,213592985
119,8.11,8.17,7.8,7.82,227157541
120,7.96,8.01,7.79,7.94,142498302
121,7.74,7.74,7.56,7.6,151910923
122,7.65,7.68,7.48,7.62,129776698
123,7.68,7.82,7.61,7.77,111335452
124,7.62,7.75,7.53,7.74,133125331
125,8,8.2,7.95,8.18,258770011
126,8.2,8.21,7.87,8.05,152981039
127,8.06,8.12,8.01,8.06,57655357
128,8.03,8.06,7.82,7.82,120161969
129,7.69,7.8,7.65,7.66,116595171
130,7.63,7.7,7.53,7.56,87078298
131,7.65,7.67,7.4,7.48,101758286
132,7.49,7.69,7.45,7.63,128619349
133,7.53,7.55,7.43,7.48,107636999
134,7.56,7.83,7.55,7.82,177154559
135,7.92,7.96,7.77,7.81,109439858
136,7.92,7.93,7.75,7.92,127266766
137,7.88,7.93,7.5,7.53,254341059
138,7.56,7.65,7.12,7.26,260959155
139,7.2,7.21,7.06,7.07,160517237
140,6.94,7.15,6.9,7.09,168637998
141,7.16,7.18,6.97,7.04,138286604
142,7.11,7.16,7.01,7.07,117241276
143,7.22,7.24,7.11,7.17,121349225
144,7.2,7.4,7.14,7.31,146212513
145,7.28,7.38,7.26,7.28,74888499
146,7.28,7.34,7.21,7.34,86093529
147,7.35,7.36,7.21,7.22,97193136
148,7.12,7.26,7.1,7.18,112847923
149,7.3,7.49,7.27,7.43,130250730
150,7.45,7.68,7.44,7.64,112656982
151,7.71,7.85,7.66,7.67,119572110
152,7.58,7.77,7.57,7.67,73353428
153,7.68,7.76,7.67,7.72,59676500
154,7.66,7.76,7.63,7.74,50443703
155,7.72,7.83,7.68,7.72,58341240
156,7.78,7.9,7.74,7.78,104643945
157,7.75,7.87,7.73,7.87,73559144
158,7.89,7.96,7.83,7.93,78181131
159,7.97,8.12,7.94,8,138307687
160,7.98,8.19,7.98,8.15,100720371
161,8.25,8.4,8.16,8.19,190820700
162,8.14,8.32,8.12,8.22,140333753
163,8.22,8.27,8.12,8.15,98866186
164,8.12,8.21,8.03,8.16,88822168
165,8.2,8.2,8.05,8.07,96280304
166,8.04,8.11,7.95,7.96,91078673
167,7.98,8.1,7.98,8,106910853
168,7.95,7.95,7.83,7.91,91900025
169,8,8.02,7.88,7.99,91775594
170,8.08,8.11,7.95,8,81461719
171,7.99,8.02,7.93,7.95,55838890
172,8.04,8.35,8.03,8.35,200572910
173,8.46,8.8,8.45,8.8,232842961
174,8.84,8.92,8.53,8.58,190045581
175,8.63,9.05,8.58,9.03,201630395
176,9.15,9.19,8.87,8.97,204167069
177,8.89,9.48,8.81,9.4,331481920
178,9.6,9.79,9.45,9.55,329640908
179,9.39,9.49,9.27,9.3,141409237
180,9.16,9.29,9.09,9.23,150664912
181,9.33,9.46,9.26,9.29,126360059
182,9.14,9.25,9.08,9.19,111354278
183,9.35,9.35,9.08,9.11,155898347
184,8.99,9.2,8.95,9.1,113333744
185,9.16,9.21,8.91,8.92,146680813
186,8.86,8.91,8.7,8.82,158640211
187,8.94,9.07,8.9,8.97,119023784
188,8.89,8.93,8.79,8.83,119039443
189,8.87,9.13,8.85,8.96,133201886
190,9.1,9.1,8.88,8.93,109601533
191,8.98,9.12,8.91,9.11,115670042
192,9.2,9.42,9.15,9.41,160486438
193,9.56,9.65,9.23,9.32,204265502
194,9.16,9.38,9.13,9.28,81944144
195,9.32,9.38,9.04,9.21,153036069
196,9.19,9.27,9.06,9.21,110642256
197,9.39,9.42,9.3,9.34,122928607
198,9.16,9.28,9.05,9.12,158568927
199,9.24,9.44,9.16,9.44,154460399
200,9.53,9.6,9.38,9.46,172663629
201,9.42,9.6,9.3,9.44,229733443
202,9.38,9.57,9.37,9.47,149739251
203,9.42,9.55,9.39,9.44,169451622
204,9.47,9.56,9.41,9.55,132617526
205,9.44,9.47,9.28,9.36,160627523
206,9.45,9.49,9.3,9.31,121112964
207,9.36,9.42,9.17,9.24,121778842
208,9.16,9.27,9.05,9.12,124797132
209,9.2,9.35,9.15,9.32,95041628
210,9.34,9.75,9.27,9.74,207421049
211,9.87,9.97,9.77,9.85,220993485
212,9.83,9.92,9.62,9.75,121104362
213,9.82,9.97,9.75,9.94,132533436
214,9.63,9.67,9.22,9.23,286124274
215,9.49,9.6,9.38,9.39,224114198
216,9.3,9.59,9.27,9.43,141093092
217,9.5,9.52,9.38,9.39,68762142
218,9.31,9.55,9.28,9.33,119633986
219,9.38,9.42,8.95,8.99,197670284
220,9.03,9.2,9.02,9.09,144591830
221,9.12,9.21,8.92,9.12,178995174
222,9.36,9.53,9.32,9.49,146245636
223,9.46,9.68,9.42,9.63,150696105
224,9.67,9.78,9.63,9.77,132499297
225,9.84,9.9,9.8,9.9,59047949
226,9.82,9.87,9.75,9.84,99730864
227,9.89,9.95,9.66,9.66,149683972
228,9.56,9.76,9.38,9.76,152946578
229,9.84,9.88,9.76,9.83,125905342
230,9.78,9.87,9.76,9.86,108745206
231,9.93,9.94,9.78,9.8,99876003
232,9.79,9.91,9.77,9.91,144315279
233,9.97,10.56,9.95,10.46,463490991
234,10.51,10.58,10.29,10.46,176607841
235,10.56,10.68,10.48,10.64,192055032
236,10.6,10.63,10.46,10.57,148065199
237,10.64,10.71,10.5,10.51,159126647
238,10.59,10.7,10.51,10.61,166819283
239,10.59,10.66,10.51,10.54,106232015
240,10.54,10.6,10.52,10.58,91707132
241,10.64,11,10.64,11,170748213
242,11.24,11.36,11.05,11.36,255544425
243,11.4,11.49,11.17,11.19,193014232
244,11.1,11.52,11.08,11.52,184458376
245,11.2,11.35,11.12,11.29,244898764
246,11.27,11.29,11.21,11.25,50657079
247,11.29,11.63,11.27,11.54,146097827
248,11.66,11.69,11.23,11.47,210411308
249,11.32,11.49,11.27,11.36,131872147
250,11.37,11.65,11.3,11.61,170863583
