,Open,High,Low,Close,Volume
1,186.73,188.71,186,186.3,5645999
2,185.57,186.33,184.94,185.54,4346651
3,184.81,185.03,183.1,184.66,4463267
4,184.39,184.48,182.31,182.54,4897057
5,182.2,182.27,180.27,181.59,5201266
6,183.23,183.72,181.2,181.31,5161696
7,180.73,182.81,180.5,182.32,4110952
8,181.86,181.91,178.38,180.55,6880962
9,179.48,179.61,177.35,179.16,5279348
10,180.36,182,179.32,180,6003399
11,179.83,181.6,179.5,181.07,4601271
12,181.79,182.36,180.35,180.52,8575901
13,185.77,188.97,184.75,188.52,12850227
14,187.91,190.52,187.67,189.98,5751748
15,188.63,192.3,188.52,191.93,5349750
16,191.33,192.24,189.61,191.73,4360603
17,191.79,192.79,190.47,190.98,4004615
18,190.01,191.77,189.81,190.46,3360521
19,189.39,192.73,188.22,192.5,4359045
20,193.09,193.1,191,192.6,4827924
21,193.21,194.81,192.41,192.62,5089251
22,192.72,193.33,191.33,191.53,3907360
23,192.93,194.13,192.54,193.64,4521636
24,192.48,193.76,192,192.82,3639807
25,192.45,194.14,191.97,193.35,3432953
26,192.78,193.58,191.73,192.95,3804288
27,193.03,194.46,192.55,193.13,3876530
28,191.76,192.43,191.28,192.42,3391177
29,193.31,193.69,191.74,192.62,2458889
30,191.76,192.6,190.83,192.22,3398364
31,192.31,193.44,191.26,192.25,4021139
32,192.61,193.25,192,193.02,3525728
33,193.71,193.86,192.3,193.42,3746679
34,193.73,194.24,192.46,193.39,3294073
35,193.03,194.74,192.75,193.87,3276029
36,193.87,199.23,193.28,197.61,8034535
37,198.38,198.56,196.61,197.76,3353242
38,196.78,198.71,196.1,197.53,3758585
39,197.75,198.96,197.43,197.98,3167481
40,197.86,199.17,196.45,196.73,5120543
41,197.23,198.47,196.93,197.53,3560706
42,197.1,198.89,197.06,198.81,3727970
43,198.36,201.19,198.3,200.66,6938659
44,199.14,199.64,196.81,197.26,5215871
45,198.09,198.57,197.31,197.77,3346878
46,199.24,199.99,198.65,199.81,3145893
47,199.98,201.1,199.72,200.62,3178143
48,200.93,201.57,200.23,201,3119666
49,201.72,203.9,201.61,203.78,4864835
50,203.78,205.15,203.64,204.72,4602609
51,204.94,206.18,204.74,206,3621170
52,207.03,207.52,206.01,206.01,9638129
53,205.71,206.53,204.5,205.72,3763177
54,204.74,205,203.7,204.25,3695026
55,204.32,205.77,204.3,204.69,3330241
56,204,205.99,203.96,205.49,3308534
57,205.89,205.96,204.56,205.48,3036189
58,206.45,207.92,206.32,207.77,3418255
59,208.46,208.66,207,207.18,2705065
60,207.44,208.69,206.27,207.29,3265696
61,206.09,208.5,206.02,208.27,3403665
62,208.74,209.12,208.01,208.65,3217344
63,208.96,209.69,208.09,209.47,3388035
64,209.31,210.69,208.54,209.5,4091491
65,206.22,206.98,205.19,206.05,4404078
66,205.15,205.68,204.46,205.47,3809119
67,204.4,206.17,203.37,204.94,3326810
68,204.94,205.74,202.17,202.33,4132997
69,203.99,204.32,202.46,202.58,3367363
70,202.8,205.56,202.35,205.32,2929585
71,204.32,204.65,202.8,202.8,3768117
72,204.74,205.97,202.72,202.72,3827191
73,204.57,207.64,204.15,207.45,6073651
74,202.43,204.07,200,200.13,10155310
75,200.03,201.26,197.52,199.51,5763201
76,199.83,200.12,199.09,199.6,4758663
77,197.89,199.1,196.79,198.62,3618928
78,199.06,202.48,198.87,200,5631646
79,202.02,203.69,201.8,203.57,4003311
80,203.4,206.21,203.4,205.58,3304328
81,206.47,208.17,205.91,206.81,3311119
82,206.71,207.96,206.32,207.08,2773199
83,207.18,208.93,206.71,208,2715870
84,206.97,208.27,206.91,208.06,2360257
85,208.27,208.92,206.55,207.24,2826568
86,206.47,207.11,204.4,204.99,4024251
87,203.96,204.77,202.9,203.75,3375923
88,202.44,203.06,199.72,201.48,3881592
89,199.99,203,199.06,201.23,3743290
90,201,203.25,200.02,200.6,3831076
91,199.96,202.12,199.95,201.17,2391580
92,199.92,200.71,198.56,199.44,3029639
93,199.44,201.47,198.76,199.04,2987339
94,199.42,201.35,198.18,199.73,5001087
95,199.67,200.79,197.64,197.89,5627456
96,198.78,198.78,195.16,195.88,5737095
97,195.98,197.93,194.63,197.76,3831863
98,198.04,198.26,196.06,196.82,3567786
99,195.53,196.49,193.2,196.12,4066664
100,195.99,196.28,194,196.09,3569476
101,195.11,196,194,194.3,2903063
102,195.22,198.08,195.22,196.46,3618533
103,194.8,195.47,193.77,194.53,3602417
104,194.1,194.93,192,192.9,9290067
105,190.12,191.72,188.6,189.08,5206323
106,188.34,189.38,187,188.54,4625073
107,187.92,189.85,187.56,189.2,3556762
108,190.78,194,190.02,193.99,3645267
109,195.28,195.83,193.94,194.44,3701066
110,193.71,195.14,192.7,195.14,2476647
111,196.6,196.7,192.37,192.51,3273511
112,192.14,194.67,192.14,194.55,3023630
113,194.36,195.19,192.34,193.1,3247653
114,193,195.83,192.74,195.1,3584945
115,196.08,199.27,195.4,199.1,6390633
116,197.57,199.64,197.17,198.29,3378912
117,198.83,199.99,198.8,198.93,3297517
118,198.7,199.74,197.5,198.78,3378824
119,199.07,199.45,193.19,193.39,4316544
120,193.87,194.88,193.22,193.7,8833353
121,192.48,193.39,191.68,192.86,3211529
122,193.54,193.68,190.75,191.95,3436150
123,192.14,193.7,190.9,193,2762612
124,191.23,192.08,188.9,191.4,3967265
125,194.55,195.81,192.41,195.58,5262273
126,196.36,197.2,194.85,195.83,2831680
127,195.46,196.34,194.91,195.93,1451425
128,194.88,196.85,193.63,195.29,2690781
129,193.92,193.94,189.74,191.41,4952950
130,190.76,191,188.05,189.67,3988256
131,190.3,191.14,185.6,186.26,4690312
132,186.22,187.36,183.51,185.25,5456169
133,184.25,184.39,181.85,183.09,4931203
134,183.46,186.33,183.03,186.01,3933365
135,185.58,186.1,184.58,184.79,3144328
136,185.73,186.29,183.2,183.65,5159538
137,184.15,188.59,183.55,188.25,8019423
138,193.4,196.85,192.97,195.34,10396143
139,194.09,194.9,192.17,192.45,4789672
140,189.78,191.3,188.2,190.83,3905145
141,190.92,191.32,188.56,190.34,3597193
142,190.31,192.77,189.32,191.08,3833753
143,193.49,194.95,192.57,193.95,3284332
144,195.1,197.41,193.95,196.39,4177285
145,196.32,197.84,195.92,196.68,2787953
146,196.5,197.58,195.88,195.98,3507163
147,196.96,197.85,194.72,195.18,2559365
148,194.12,196.6,193.02,194.45,2812511
149,196.48,198.95,196.16,198.52,3278231
150,198.76,199.94,198.52,198.76,2337738
151,199.43,200.88,198.8,199.93,3209644
152,198.27,199.69,198.16,199.03,2068250
153,198.62,199.46,197.89,198.42,2160095
154,197.87,199.37,197.24,199.29,2600724
155,198.88,199.98,197.79,199.01,2418289
156,198.88,199.33,197.72,198.29,2562255
157,198.9,199.33,197.92,198.4,2111828
158,198.77,201.32,198.12,200.84,2729453
159,201.08,202,200.66,201.22,2551732
160,200.69,201.13,200.03,200.5,2335987
161,200.99,201,198.37,198.65,3111357
162,198.64,198.65,196.9,197.25,3296070
163,197.04,197.37,195.44,195.7,2758497
164,194.96,198.11,194.2,197.77,2639463
165,197.96,198.3,195.61,195.69,2498722
166,195.56,196.11,194.5,194.87,2539110
167,195.13,196.04,194.9,195.08,2141398
168,194.77,195.47,193.18,193.37,2740995
169,194.31,195.95,193.46,194.85,3193352
170,196.61,197.17,193.25,194.54,4514860
171,194.41,195.85,193.89,195.04,3312634
172,196.26,199.46,196.11,199.1,3931624
173,199.12,199.5,198.08,199.5,3414148
174,199.39,201.82,198.73,200.95,4208243
175,200.55,203.46,200.51,203.27,3910647
176,203.52,204.65,202.96,203.77,3283950
177,204.38,206.81,203.46,206.36,3880489
178,206.24,207.65,206.05,206.81,4057758
179,205.55,207.99,205.55,207.15,3276074
180,206.88,207.88,206.48,207.07,2476249
181,207.55,207.57,206.01,206.43,2605577
182,205.85,206.99,205.3,206.18,3740487
183,207.36,207.94,205.92,205.98,12772715
184,205.02,206.06,204.9,205.29,3511197
185,205.6,207.32,204.95,204.98,3346760
186,205.05,205.98,203.9,204,3423397
187,204.37,206.9,204.14,205.91,2771977
188,205.66,208.32,205.31,207.45,4910277
189,208.01,211.75,207.94,210.47,5457453
190,210.96,211.47,208.5,209.84,3320927
191,209.94,211.3,209.3,210.51,3192215
192,210.28,210.97,208.53,210.39,2957540
193,211.15,211.79,210.06,210.59,2858352
194,210.02,210.64,209.21,209.82,1982625
195,209.95,210.74,207.7,207.99,3580564
196,207.82,208.23,205.05,205.82,4025281
197,206.57,207.27,205.63,205.76,2910149
198,205.64,207.96,205.56,207.8,2711979
199,208.88,209.4,207.82,208.93,3062956
200,209.94,211,209.47,211,5632183
201,201.21,203.41,198.55,200.63,12675634
202,199.91,200.14,194.07,194.96,9296561
203,195.29,196.08,193.18,193.36,6621563
204,193.71,194.68,192.44,194.4,4404728
205,193.53,194,190.94,191.25,4427470
